bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
1168,0.05537566,56.82,55.93,59.42
1171,0.0540447,55.45,54.59,58.11
1174,0.12649275,129.78,127.76,129.49
1175,0.08032479,82.41,81.13,84.0
1177,0.11323262,116.18,114.36,116.42
1178,0.12042789,123.56,121.63,123.51
1180,0.11811176,121.18,119.29,121.23
1182,0.17272166,177.21,174.45,175.03
1183,0.07855098,80.59,79.34,82.25
1184,0.09517099,97.65,96.12,98.63
1194,0.06090735,62.49,61.52,64.87
1195,0.07383963,75.76,74.58,77.61
1197,0.06385089,65.51,64.49,67.77
1198,0.08595754,88.19,86.82,89.55
1200,0.06400192,65.67,64.64,67.92
1201,0.06542225,67.12,66.08,69.32
1202,0.08405441,86.24,84.89,87.68
1207,0.07895766,81.01,79.75,82.65
1208,0.10714012,109.93,108.21,110.42
1209,0.08026411,82.35,81.07,83.94
1210,0.07211916,73.99,72.84,75.92
1212,0.06866487,70.45,69.35,72.51
1213,0.07170743,73.57,72.42,75.51
1214,0.06630265,68.03,66.97,70.19
1215,0.0625587,64.19,63.18,66.5
1304,0.08971419,92.05,90.61,93.25
1305,0.06472187,66.4,65.37,68.63
1307,0.06272441,64.36,63.35,66.66
1309,0.05150824,52.85,52.02,55.61
1310,0.05578065,57.23,56.34,59.82
1311,0.05971203,61.26,60.31,63.69
1312,0.09617985,98.68,97.14,99.62
1313,0.0602343,61.8,60.84,64.21
1314,0.06555206,67.26,66.21,69.45
1315,0.05280141,54.17,53.33,56.89
1316,0.09430187,96.75,95.24,97.77
1319,0.06761928,69.38,68.3,71.48
1321,0.07453019,76.47,75.28,78.29
1323,0.05879122,60.32,59.38,62.79
1324,0.06832016,70.1,69.0,72.17
1331,0.07525779,77.21,76.01,79.01
1336,0.06812165,69.89,68.8,71.98
1341,0.05866626,60.19,59.25,62.66
1342,0.07037406,72.2,71.08,74.2
1345,0.05331499,54.7,53.85,57.39
1350,0.05824022,59.75,58.82,62.24
1356,0.06851558,70.3,69.2,72.37
1359,0.05337753,54.77,53.91,57.45
1360,0.10838257,111.2,109.47,111.64
1361,0.05459471,56.01,55.14,58.65
1362,0.07301522,74.91,73.75,76.8
1363,0.0786446,80.69,79.43,82.35
1365,0.06449208,66.17,65.14,68.4
1368,0.05303588,54.41,53.57,57.12
1369,0.06932577,71.13,70.02,73.17
1372,0.07448832,76.43,75.23,78.25
1373,0.06326967,64.91,63.9,67.2
