bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0463,0.07563512,77.6,76.39,79.38
0466,0.08866819,90.97,89.55,92.22
0467,0.06927286,71.07,69.97,73.11
0470,0.07927841,81.34,80.07,82.97
0471,0.10858011,111.4,109.67,111.84
0474,0.07308822,74.99,73.82,76.87
0478,0.06554515,67.25,66.2,69.44
0479,0.07138598,73.24,72.1,75.2
0481,0.0835225,85.69,84.36,87.15
0485,0.08067846,82.78,81.49,84.35
0486,0.08545007,87.67,86.3,89.05
0487,0.07797348,80.0,78.75,81.69
0488,0.08464391,86.84,85.49,88.26
0491,0.07641838,78.41,77.18,80.15
0492,0.10189964,104.55,102.92,105.26
0493,0.09682023,99.34,97.79,100.25
0494,0.10360123,106.29,104.64,106.93
0496,0.07006714,71.89,70.77,73.9
0497,0.05551451,56.96,56.07,59.56
0498,0.09769426,100.23,98.67,101.11
0500,0.08805152,90.34,88.93,91.61
0501,0.0911949,93.57,92.11,94.71
0502,0.05589413,57.35,56.45,59.93
0504,0.10763007,110.43,108.71,110.9
0505,0.07117123,73.02,71.88,74.98
0506,0.09671896,99.23,97.69,100.15
0507,0.08568897,87.92,86.55,89.29
0509,0.07718695,79.19,77.96,80.91
0511,0.08572281,87.95,86.58,89.32
0512,0.08879092,91.1,89.68,92.34
0513,0.080111,82.19,80.91,83.79
0514,0.07819676,80.23,78.98,81.91
0515,0.07704211,79.05,77.81,80.77
0517,0.20119754,206.43,203.21,203.09
0518,0.09651776,99.03,97.48,99.96
0520,0.09368901,96.12,94.63,97.17
0521,0.11036214,113.23,111.47,113.6
0523,0.07873144,80.78,79.52,82.43
0524,0.09032395,92.67,91.23,93.85
0525,0.11855484,121.64,119.74,121.67
0526,0.07217148,74.05,72.89,75.97
0527,0.07007669,71.9,70.78,73.91
0529,0.08650172,88.75,87.37,90.09
0532,0.08462688,86.83,85.47,88.24
0533,0.09150218,93.88,92.42,95.01
0534,0.0716014,73.46,72.32,75.41
0535,0.10299325,105.67,104.02,106.34
0536,0.07678461,78.78,77.55,80.51
0537,0.08110812,83.22,81.92,84.77
0538,0.08385754,86.04,84.7,87.48
0539,0.0791844,81.24,79.98,82.88
0540,0.09152558,93.91,92.44,95.04
0542,0.11732429,120.37,118.5,120.45
0546,0.0699128,71.73,70.61,73.74
0547,0.08147728,83.6,82.29,85.14
0548,0.08317493,85.34,84.01,86.81
0549,0.07133326,73.19,72.05,75.14
0550,0.07526157,77.22,76.01,79.01
0551,0.07694288,78.94,77.71,80.67
0552,0.08550276,87.73,86.36,89.1
0553,0.21549201,221.09,217.65,217.17
0554,0.08518389,87.4,86.04,88.79
0555,0.07308068,74.98,73.81,76.86
0557,0.07835697,80.39,79.14,82.06
0559,0.08923635,91.56,90.13,92.78
0560,0.08363537,85.81,84.47,87.26
0561,0.08974318,92.08,90.64,93.28
0562,0.1071705,109.96,108.24,110.45
0563,0.10021514,102.82,101.22,103.6
0564,0.08559407,87.82,86.45,89.19
0566,0.08611522,88.35,86.98,89.71
0567,0.09216149,94.56,93.08,95.66
0568,0.08475872,86.96,85.61,88.37
0571,0.09106658,93.43,91.98,94.58
