weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
72.6,174.4,39.7,94.9,84.5,93.4,113.2,57.1,39.1,35.0,20.6,28.7,16.6,13.7,60.8,27.3,86.8,38.4,44.9,23.0,56.0
86.8,176.3,39.9,108.0,93.9,100.6,120.8,62.6,40.8,40.0,22.5,31.0,17.7,14.2,63.6,28.4,84.7,41.1,44.8,26.5,57.7
91.6,185.9,39.5,101.9,98.0,104.2,118.6,62.8,45.4,38.9,22.9,30.7,18.9,16.5,66.3,30.1,92.2,40.4,46.6,27.3,55.9
89.9,166.9,42.2,115.2,105.1,105.0,123.1,63.5,40.7,39.5,20.7,34.8,17.7,11.9,58.5,26.8,78.8,36.8,40.4,28.9,56.7
66.4,170.5,40.4,94.2,80.7,90.2,114.9,55.6,36.8,34.1,20.5,28.8,16.4,14.9,59.1,26.1,80.5,41.6,41.2,21.9,57.0
73.0,175.5,41.5,88.2,76.2,94.6,111.5,59.8,39.7,36.2,20.9,31.0,16.6,13.0,57.9,26.1,84.4,40.7,41.8,21.5,58.7
88.5,175.6,45.0,102.5,97.2,107.8,123.5,62.8,40.5,37.9,22.6,33.0,18.3,14.8,58.1,27.3,84.5,40.0,42.7,24.9,56.7
86.0,186.6,40.8,102.9,90.7,101.4,121.4,58.7,40.9,36.5,22.7,31.5,18.9,16.2,60.5,28.2,87.8,44.6,46.0,26.2,56.0
98.5,183.7,41.2,107.4,99.4,109.8,122.7,67.2,45.5,42.8,25.6,32.1,17.9,13.7,62.5,27.6,88.9,38.7,45.2,25.4,57.0
83.7,175.8,42.3,103.1,91.5,101.2,119.6,61.8,39.7,39.5,22.6,31.7,18.3,15.1,62.6,28.7,86.0,41.3,42.1,26.5,57.4
86.4,183.7,41.2,100.8,80.6,102.5,120.6,61.3,40.8,38.9,22.9,32.9,18.6,14.8,62.7,29.2,94.8,39.1,47.4,24.3,57.4
67.4,183.5,38.2,85.4,72.0,90.8,109.3,53.1,36.6,35.7,22.4,28.7,16.7,14.1,65.3,29.4,93.2,38.6,47.2,21.4,54.3
90.3,175.6,44.5,102.5,88.8,106.8,122.9,67.6,41.8,38.9,21.9,31.9,18.8,14.5,61.7,28.9,83.9,38.1,43.7,26.0,58.8
92.0,188.7,42.5,99.5,103.3,104.5,122.7,67.2,40.2,37.3,21.6,30.1,17.0,18.4,64.0,29.0,88.8,47.0,45.7,26.0,57.9
92.4,181.7,44.1,109.2,90.1,101.6,125.0,61.9,42.2,41.3,22.7,35.4,18.8,13.8,60.5,28.0,84.2,42.8,44.4,26.0,59.4
71.1,172.0,39.0,96.2,78.5,95.1,111.4,58.0,37.4,37.7,22.6,30.1,16.9,14.1,60.6,28.5,84.1,38.4,44.1,22.0,55.5
91.1,183.6,41.7,105.9,100.4,106.0,126.3,64.1,42.1,38.5,23.1,30.8,17.4,16.6,61.6,27.7,86.2,43.9,42.1,26.1,56.5
65.6,161.7,44.3,90.1,77.3,91.9,111.3,57.8,37.5,35.6,21.7,30.0,16.6,12.5,57.4,27.3,76.9,36.6,39.5,22.0,54.8
56.5,167.0,38.5,85.2,69.4,84.5,100.1,48.5,34.2,34.6,20.5,27.3,16.9,13.1,56.4,25.1,75.4,40.6,41.1,20.5,55.2
77.4,179.6,38.7,94.5,83.9,98.4,112.5,57.1,39.9,39.7,24.2,30.8,18.5,13.3,59.1,26.9,84.1,45.6,43.5,23.9,55.9
72.1,162.9,41.6,97.2,83.0,98.9,118.8,60.7,40.5,35.9,23.0,30.6,18.2,13.9,53.7,25.4,72.3,39.9,38.6,22.7,58.9
66.4,173.1,39.6,91.6,79.1,93.1,113.5,52.3,37.8,34.3,20.9,28.8,17.8,13.0,58.6,27.2,83.5,41.0,42.7,20.3,54.2
79.3,171.8,40.9,100.4,86.9,97.5,118.9,62.4,41.3,38.6,21.7,30.8,16.0,14.7,61.0,28.1,81.6,35.8,42.4,23.5,56.6
80.0,184.9,41.1,97.4,82.8,98.8,119.2,60.1,39.2,39.5,22.5,32.8,17.8,15.9,61.5,28.2,86.8,47.1,43.0,23.5,54.1
87.6,185.0,41.3,105.3,92.8,102.5,121.0,62.8,41.3,39.0,22.8,31.2,18.0,15.5,65.7,29.4,88.8,42.5,44.8,25.4,56.3
82.0,169.6,42.2,103.0,91.9,102.9,112.3,63.7,40.3,38.5,22.8,30.1,17.5,12.8,58.1,26.4,77.1,41.9,40.7,26.3,56.0
64.5,185.8,40.8,92.2,74.5,89.9,112.6,50.7,35.3,36.6,21.4,28.4,17.1,15.6,61.1,28.3,90.3,44.7,45.5,21.3,56.0
82.0,179.5,39.0,103.2,87.5,101.5,121.5,63.2,40.7,39.9,22.7,31.2,17.5,16.6,62.2,27.8,86.5,43.7,43.0,25.2,55.7
96.5,185.1,40.6,112.9,96.7,106.5,127.3,65.1,43.4,41.8,23.7,31.8,17.7,15.4,63.7,28.5,90.8,42.4,45.4,26.9,59.3
100.2,176.3,45.4,108.9,96.7,109.8,127.9,68.4,43.3,44.5,24.3,33.8,18.5,15.9,63.5,31.0,87.5,40.4,44.2,27.0,58.7
89.2,180.9,43.8,100.1,99.0,106.9,119.5,65.0,41.8,39.7,23.7,31.2,18.0,14.0,60.7,27.1,83.6,40.0,42.8,24.4,58.1
87.8,173.5,45.5,100.1,89.2,104.2,124.1,68.2,45.5,39.9,23.6,32.2,17.3,16.4,62.0,29.1,84.5,37.4,42.8,23.7,56.3
76.7,177.8,43.2,98.1,91.9,99.1,116.3,61.9,38.9,36.2,21.2,29.0,17.4,14.6,60.7,28.7,82.4,40.9,40.5,23.6,57.8
78.4,170.8,43.4,98.6,92.5,99.5,118.9,60.5,40.6,38.2,23.4,30.1,17.1,14.2,59.5,25.8,78.7,38.8,40.4,24.2,56.1
86.7,181.8,42.9,99.2,84.6,98.6,120.8,62.1,42.9,41.3,25.3,33.7,18.9,14.3,61.5,29.6,87.4,43.7,45.7,24.1,57.7
95.7,188.8,43.9,103.1,100.7,109.4,118.5,65.9,41.4,38.4,23.4,30.9,18.2,15.6,62.6,28.4,89.7,46.0,48.4,26.0,59.7
