bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
SPRING2244,74.2,159.44,37.47,98.78,97.98,101.88,110.91,57.79,38.77,37.38,22.16,30.89,18.5,14.15,55.14,25.55,78.41,45.52,40.42,24.41,55.87
SPRING2246,72.07,183.5,38.04,89.69,86.81,93.66,107.31,54.97,37.82,35.52,19.99,30.53,17.72,15.36,64.5,29.8,92.5,47.94,44.07,21.42,59.25
SPRING2249,82.25,181.5,39.33,99.74,88.81,101.09,117.5,60.52,40.93,36.13,20.52,31.44,17.59,15.03,62.67,28.86,89.59,47.55,44.77,24.39,57.46
SPRING2251,84.83,174.77,40.53,101.22,98.79,101.94,113.79,62.76,42.21,38.27,22.45,30.08,18.23,15.88,55.41,25.37,84.57,49.7,42.35,23.77,61.01
SPRING2252,97.12,186.03,42.93,111.36,103.95,107.84,118.89,63.24,40.34,37.69,22.4,31.93,19.22,14.02,61.59,26.87,89.03,50.67,42.94,25.49,56.62
SPRING2256,88.51,167.76,41.99,108.59,95.72,109.54,123.66,68.0,43.77,40.92,22.51,31.94,18.7,15.16,54.5,24.68,79.33,40.84,42.03,25.6,57.56
SPRING2257,87.13,168.46,47.38,115.44,102.07,106.31,119.84,58.85,37.97,37.1,20.71,32.97,18.82,13.47,60.46,27.98,81.59,45.56,40.9,27.65,58.87
SPRING2259,75.54,177.1,42.09,94.48,91.49,96.55,117.38,56.84,35.45,36.35,20.43,28.71,16.81,16.75,57.17,25.18,80.73,51.85,40.06,21.69,59.82
SPRING2261,104.42,178.84,45.33,112.19,106.29,117.23,129.94,73.13,47.52,42.09,23.38,34.52,19.91,16.7,62.09,29.47,87.54,47.96,43.81,27.14,59.88
SPRING2266,90.29,183.99,44.81,101.06,88.4,107.51,121.79,64.62,43.3,40.09,23.01,31.31,18.26,15.6,63.27,28.29,91.48,49.42,45.31,23.59,58.77
