bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
SPRING2690,51.13,158.84,33.96,77.86,72.55,89.28,95.02,51.82,36.61,33.47,19.09,22.95,14.4,13.92,52.69,22.3,75.2,40.35,33.29,20.48,54.03
SPRING2691,59.05,150.7,37.44,88.37,75.95,93.61,103.71,61.57,41.17,37.03,20.66,26.44,15.8,14.22,47.84,22.39,68.66,41.06,32.64,24.03,55.98
SPRING2692,55.78,157.86,35.13,84.38,74.35,89.55,101.27,53.25,35.67,34.0,20.06,25.73,15.62,14.08,48.81,22.39,70.56,44.62,33.5,22.49,55.73
SPRING2693,58.4,160.67,34.76,80.56,75.45,91.75,100.52,57.41,39.6,37.19,19.57,25.5,14.29,15.22,53.06,23.18,79.49,45.35,35.89,21.8,54.52
SPRING2694,56.16,165.68,34.64,82.62,70.24,92.34,96.97,56.42,36.86,32.55,20.39,24.57,15.43,14.06,54.5,25.26,80.81,40.29,38.29,22.51,57.87
SPRING2697,133.85,159.5,49.22,132.0,132.56,143.58,132.51,83.91,54.63,46.83,24.41,33.54,18.83,14.84,55.69,24.49,70.54,44.15,35.22,37.38,58.27
SPRING2698,66.09,160.32,37.9,88.96,79.21,97.79,107.2,61.07,41.75,36.43,21.38,26.19,15.6,15.72,51.39,23.27,75.85,42.42,35.01,25.49,55.61
SPRING2699,55.59,150.72,34.99,94.33,77.0,95.28,101.83,55.56,37.12,34.15,18.4,23.57,12.92,13.45,48.57,20.43,71.95,38.96,31.96,25.12,54.49
SPRING2700,51.99,156.39,33.06,81.23,69.89,87.51,94.12,54.27,36.27,33.84,19.1,24.81,14.06,12.61,53.23,24.21,77.46,41.6,36.36,22.28,53.37
SPRING2701,70.13,164.9,36.75,90.74,76.73,103.23,106.49,66.38,42.68,36.85,20.63,24.34,14.28,14.7,54.94,25.26,83.66,37.98,38.77,24.2,59.75
SPRING2702,70.6,155.62,35.06,103.33,94.51,106.26,103.15,66.47,38.21,35.01,18.18,26.21,14.59,13.23,54.5,24.3,78.69,41.38,38.23,28.45,54.84
SPRING2703,57.26,177.13,33.46,83.43,68.9,93.37,97.36,52.78,36.1,34.06,19.95,23.01,14.94,15.22,61.66,28.91,86.77,43.8,40.94,21.93,53.28
SPRING2704,47.25,158.3,34.08,77.52,72.77,84.99,95.85,50.26,34.62,30.52,18.12,22.51,13.55,14.49,51.86,23.41,73.72,45.39,33.89,19.87,53.2
SPRING2705,92.5,162.35,43.58,115.62,97.97,119.88,116.25,73.87,44.11,40.99,20.98,30.46,16.44,13.66,55.89,24.73,80.76,39.0,37.35,31.54,59.56
SPRING2708,60.84,157.57,34.4,89.38,83.38,100.7,96.56,59.43,36.71,34.18,21.1,25.63,14.79,13.28,51.95,22.79,75.67,40.81,36.38,23.75,56.63
SPRING2710,92.43,167.55,39.58,105.64,99.81,117.36,116.15,75.46,46.46,39.11,22.49,28.52,16.62,15.05,56.43,25.17,79.38,44.54,38.08,28.23,60.27
SPRING2711,63.9,159.28,36.54,87.82,78.0,97.48,97.47,61.72,41.72,35.65,19.52,24.47,14.84,13.77,49.19,22.23,73.75,44.65,33.23,23.31,53.65
SPRING2713,93.67,154.81,42.51,116.35,108.34,123.8,115.65,73.43,45.36,40.55,22.84,28.96,16.79,12.76,50.83,23.17,71.14,39.34,34.13,31.94,56.1
SPRING2714,47.89,153.84,34.29,77.84,68.58,87.38,90.64,51.59,34.69,32.33,18.74,22.83,14.36,13.1,46.61,21.3,69.06,38.07,32.69,20.67,53.88
SPRING2716,50.42,149.85,35.01,84.29,73.17,88.3,92.57,54.63,37.85,33.54,18.6,23.94,14.15,12.72,49.96,23.22,72.89,40.91,34.97,22.38,53.56
SPRING2722,68.57,158.87,36.47,100.45,83.54,102.92,103.21,60.07,43.82,36.88,20.74,24.23,14.07,13.71,49.63,23.27,75.97,40.27,34.06,26.26,55.88
SPRING2724,58.57,165.01,36.02,84.67,71.93,98.71,101.81,58.51,36.2,32.61,19.39,23.05,14.72,14.68,55.75,23.9,83.38,41.52,39.46,21.71,53.16
SPRING2725,59.62,155.53,37.36,87.52,80.26,95.78,101.55,55.93,37.25,34.77,20.25,26.1,15.66,13.4,50.02,24.08,73.37,40.0,34.26,23.56,55.11
SPRING2726,53.03,155.42,35.24,86.19,69.57,90.88,99.11,52.21,36.29,33.08,19.47,24.32,14.15,14.51,50.52,22.99,74.05,37.84,34.7,21.19,54.85
SPRING2728,54.82,149.11,38.62,91.03,80.16,92.93,98.06,53.12,34.43,33.56,18.76,24.26,14.97,12.67,47.88,21.63,66.45,38.03,29.12,24.8,57.3
SPRING2730,59.01,166.89,37.75,83.73,74.98,93.63,104.78,53.96,36.82,34.7,19.36,26.46,14.75,14.85,55.56,24.71,80.39,42.78,38.71,21.97,55.22
SPRING2731,59.46,159.07,36.14,83.58,77.48,96.47,97.29,57.61,40.06,35.42,20.42,25.21,14.7,13.31,51.93,23.31,76.06,42.06,34.3,22.29,58.2
SPRING2732,65.23,159.83,35.27,93.46,90.09,100.75,103.7,58.44,39.63,36.71,20.25,25.32,15.06,14.6,52.76,24.3,75.95,47.36,33.35,24.31,57.82
SPRING2734,65.87,150.11,38.85,97.74,90.93,98.81,104.17,58.8,41.9,38.54,21.25,26.7,15.29,14.12,50.09,22.88,66.26,42.86,30.99,26.4,55.58
SPRING2735,57.88,145.83,37.37,95.25,82.92,94.44,99.98,56.61,38.31,34.56,18.81,23.83,15.07,13.29,49.11,22.08,68.13,38.42,32.11,26.54,57.59
SPRING2736,62.91,156.27,37.86,94.11,88.22,93.48,103.66,57.75,38.96,37.09,20.59,26.03,15.14,14.08,51.04,23.12,71.45,43.71,31.91,25.82,55.45
SPRING2737,46.12,158.58,34.82,79.01,70.48,81.6,93.99,47.19,33.38,31.01,18.84,22.14,14.05,13.29,52.61,22.2,79.1,36.92,32.27,19.98,53.69
SPRING2739,54.02,143.96,36.71,93.3,83.81,93.39,97.25,53.89,35.35,32.09,18.21,25.5,14.41,13.97,48.39,22.1,67.02,38.8,29.47,26.48,56.06
SPRING2740,63.16,170.18,33.35,87.13,79.23,100.29,99.16,59.76,38.78,33.96,19.51,24.17,14.74,13.88,57.02,25.91,85.91,43.46,39.34,23.33,54.67
SPRING2741,55.93,161.04,32.99,82.02,72.79,93.26,94.86,57.01,38.39,34.69,19.74,22.42,13.79,13.5,52.63,23.89,76.37,39.12,33.06,22.42,56.32
SPRING2742,61.57,149.64,38.88,99.78,88.15,96.45,104.1,56.86,38.07,33.77,18.5,26.09,15.78,14.59,48.35,21.6,67.91,37.99,31.21,26.42,57.13
SPRING2744,121.64,164.65,46.1,132.58,128.76,138.55,123.75,72.94,49.17,41.99,23.31,29.73,19.14,14.28,52.69,21.08,67.17,42.21,37.23,34.37,55.47
SPRING2745,52.88,163.66,33.02,80.25,71.66,87.73,96.52,51.72,37.44,33.62,19.23,22.2,14.2,15.2,51.75,23.69,81.99,45.47,37.1,20.76,54.29
