code,weight_kg,stature_cm,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length
F3Q,62.4,162.2,90.0,80.4,97.2,102.5,54.8,24.6,78.2,42.2
F4B,62.6,167.2,91.2,78.6,93.1,105.4,56.1,25.1,80.8,42.8
F4Q,61.4,159.7,90.2,81.3,98.7,100.5,53.5,23.8,76.2,41.5
F4R,59.4,157.8,89.3,79.6,97.0,99.6,52.7,23.4,75.9,40.9
F5F,69.1,181.5,92.6,78.1,92.0,111.1,63.3,28.4,90.4,47.5
F5P,76.2,171.9,100.6,88.0,99.5,112.7,56.9,25.7,82.3,45.2
F5Q,82.7,168.2,106.2,98.2,105.7,113.8,56.3,25.4,80.4,45.4
F5W,97.0,175.9,112.7,103.0,109.3,121.0,59.7,27.0,84.4,49.2
F6A,61.4,164.9,89.4,79.0,96.5,103.8,55.3,24.4,79.1,42.1
F6J,89.0,181.7,106.8,94.8,102.4,120.7,62.1,28.4,88.6,48.5
F6P,82.2,179.7,102.1,87.7,99.5,116.1,62.3,27.8,88.0,48.5
F6Z,98.2,175.2,114.9,106.0,108.7,123.8,58.4,26.4,82.7,50.0
F7G,71.7,161.6,99.7,94.9,105.0,104.6,53.1,23.7,75.9,44.2
F7N,65.1,157.7,94.1,84.0,101.3,102.4,52.5,23.1,75.1,40.6
F7P,69.3,174.9,94.4,78.3,93.2,112.2,60.0,27.2,86.0,45.1
F7T,74.8,160.0,102.0,92.9,107.2,106.6,53.1,23.6,75.4,42.6
F7W,55.8,161.8,85.1,75.8,92.6,98.4,54.1,24.0,78.1,41.1
F8B,107.0,182.3,117.6,108.4,111.4,124.3,61.2,27.7,87.1,50.9
F8C,72.1,170.8,100.0,85.3,96.3,110.1,56.9,25.4,82.4,45.4
F8W,84.0,168.7,107.8,97.4,106.8,114.4,55.7,24.6,80.2,45.7
F9B,66.8,170.7,93.7,80.0,93.6,108.4,57.5,26.0,82.4,45.1
F9G,91.2,181.1,107.4,95.0,104.3,119.2,61.7,27.8,88.5,49.0
F9J,66.3,160.5,94.7,85.5,101.0,103.6,52.9,23.6,76.4,42.3
G0C,99.6,177.9,114.2,105.6,110.6,123.2,59.9,27.3,85.7,48.6
G0N,96.4,183.6,111.8,100.6,106.9,122.2,62.6,28.3,89.7,50.3
G0W,66.6,159.2,95.7,89.3,103.2,102.8,52.7,23.3,74.8,42.3
G1C,58.2,160.4,88.2,77.5,95.8,99.1,52.8,23.1,76.4,41.8
G1F,53.9,159.5,83.7,72.8,92.5,96.4,53.2,24.0,77.4,41.1
G1G,49.8,153.0,82.7,71.3,89.6,94.6,50.1,22.2,72.4,39.3
G1Y,66.7,180.3,92.4,75.3,90.5,109.9,62.2,28.5,89.4,46.0
G2N,72.0,166.4,98.3,87.7,98.1,110.0,55.2,24.7,78.9,45.5
G2R,68.0,162.3,93.5,85.6,102.7,104.0,54.9,24.1,77.5,42.8
G2V,88.7,169.8,110.3,103.3,105.9,117.4,57.4,25.6,80.3,48.0
G2W,68.3,171.5,93.7,80.2,93.7,110.0,58.5,26.7,84.0,45.4
G3E,78.0,179.3,100.2,85.3,96.4,116.8,61.3,27.9,88.4,47.0
G3G,63.0,158.4,93.9,84.1,99.8,102.4,52.6,23.4,75.4,40.8
G4Q,65.4,172.4,91.0,78.1,93.5,106.9,59.0,26.3,84.4,43.8
G4Z,69.5,179.0,94.4,78.8,92.0,111.9,61.0,27.1,87.3,47.0
G5F,56.4,158.9,87.7,77.4,94.9,97.7,51.6,22.7,74.3,41.5
G5G,85.9,168.3,110.0,99.0,107.1,116.7,56.6,25.4,79.9,46.1
G5H,65.4,168.4,91.5,79.9,95.5,107.2,56.5,25.5,82.6,42.8
G6B,83.5,166.4,106.7,101.3,107.5,114.0,54.9,25.0,79.4,47.0
G6Q,100.2,177.3,116.3,107.3,108.8,123.0,59.5,26.8,85.1,49.8
G6V,67.0,174.0,94.1,77.7,91.8,109.5,58.8,26.3,84.3,45.8
G7U,93.3,169.1,110.7,103.5,112.6,117.8,56.4,25.6,80.4,45.9
G9C,74.5,177.5,98.3,80.4,94.4,115.5,60.8,27.7,88.4,46.0
G9Q,60.6,159.2,89.9,80.5,97.9,99.9,52.0,23.0,75.3,41.2
H0F,104.6,178.3,118.5,110.3,111.0,125.2,59.3,26.9,85.7,50.2
H0Z,60.7,156.8,92.7,84.6,98.7,99.6,51.3,22.6,74.2,41.3
H1B,71.8,180.6,95.1,80.2,93.8,111.5,61.8,28.2,89.2,47.3
H1K,74.4,165.0,98.4,91.6,103.7,108.2,55.0,24.7,78.4,43.4
H2H,72.3,162.0,99.9,89.2,103.9,105.5,54.3,24.1,77.2,42.5
H3E,82.3,165.5,105.5,99.0,106.7,111.1,55.2,24.4,78.2,46.0
H3R,59.8,164.9,88.2,78.6,93.6,102.8,55.0,24.4,79.5,43.5
H4J,99.9,182.6,113.6,101.2,109.9,124.2,61.9,27.9,88.8,48.8
H4K,61.7,167.2,89.1,76.3,92.9,104.7,56.4,25.2,82.0,42.4
H4U,88.5,183.2,105.8,92.7,103.2,119.8,62.9,28.2,89.7,48.5
H4Y,57.6,162.8,87.5,76.4,93.6,100.2,54.8,24.5,78.9,41.7
H5W,86.9,184.3,105.0,90.0,102.5,120.1,62.8,28.4,90.8,48.5
H6P,100.2,175.2,115.5,107.6,110.1,123.4,58.2,26.3,82.0,49.3
H6W,83.6,183.1,103.5,89.4,99.6,116.7,62.9,28.3,90.9,47.2
H7Y,97.5,171.9,115.0,106.0,109.3,124.2,56.6,25.8,81.1,48.3
H8C,102.6,175.8,116.5,110.5,110.9,125.2,58.8,26.7,82.7,50.2
H8F,61.6,157.6,91.8,80.6,100.0,99.6,51.9,22.8,75.0,40.7
H8G,55.7,158.5,87.1,74.1,94.5,98.1,53.0,23.4,75.9,39.8
H8Y,63.4,157.4,93.5,84.8,100.9,100.8,51.2,22.5,73.7,40.6
H9A,84.5,185.4,101.9,91.2,100.5,117.2,63.4,29.1,92.5,48.6
H9F,51.0,152.5,83.6,73.3,90.8,95.5,50.0,22.5,71.6,39.8
H9H,81.0,165.4,106.6,96.5,104.1,113.2,55.9,24.9,77.4,45.0
H9J,78.8,165.3,102.0,94.2,108.1,109.8,55.2,24.5,78.8,43.9
H9K,73.1,163.0,98.4,91.1,107.4,103.6,54.3,23.6,77.2,43.0
H9N,93.5,182.4,109.3,97.0,104.4,121.3,62.6,28.3,88.6,49.9
H9P,88.4,167.5,110.5,104.2,105.9,117.7,54.9,25.0,78.8,47.0
J0U,94.4,170.5,114.6,104.6,107.4,122.8,56.0,25.3,79.7,48.4
J1V,101.3,176.3,116.2,108.6,111.2,124.6,59.4,27.2,83.6,49.7
J2E,58.1,164.2,87.4,74.9,92.7,100.1,54.8,24.6,79.9,41.4
J2J,104.0,178.7,116.5,108.6,111.3,125.7,60.2,27.1,86.0,49.3
J2T,106.4,182.4,115.5,106.8,112.9,126.4,62.0,28.1,88.2,49.6
J2Y,68.2,159.6,97.7,89.6,103.8,102.5,51.8,23.2,74.3,42.3
J3B,62.9,172.5,91.1,76.9,91.2,107.8,58.7,26.7,85.0,44.4
J3C,56.8,159.2,87.8,76.9,94.7,96.9,52.1,22.9,76.6,40.5
